Recommendation,Component for scoring,Translation of recommendation,Translation of component for scoring
Decrease processed meat,processed meat,Μείωση του επεξεργασμένου κρέατος,επεξεργασμένο κρέας
Decrease red meat,red meat,Μειώση του κόκκινου κρέατος,κόκκινο κρέας
Decrease sodium,sodium,Μείωση του νατρίου,νάτριο
Decrease sugar-sweetened beverages,sugar-sweetened beverages,Μείωση των ζαχαρούχων ροφημάτων,ζαχαρούχα ροφήματα
Decrease trans fatty acids,trans fatty acids,Μείωση των τρανς λιπαρών οξέων,τρανς λιπαρά οξέα
Diet low in calcium,calcium,Διατροφή χαμηλή σε ασβέστιο,ασβέστιο
Diet low in fiber,fiber,Διατροφή χαμηλή σε φυτικές ίνες,φυτικές ίνες
Diet low in fruits,fruits,Διατροφή χαμηλή σε φρούτα,φρούτα
Diet low in legumes,legumes,Διατροφή χαμηλή σε όσπρια,όσπρια
Diet low in milk,milk,Διατροφή χαμηλή σε γάλα,γάλα
Diet low in nuts and seeds,nuts and seeds,Διατροφή χαμηλή σε ξηρούς καρπούς και σπόρους,ξηροί καρποί και σπόροι
Diet low in omega-6 polyunsaturated fatty acids,omega-6 polyunsaturated fatty acids,Διατροφή χαμηλή σε ωμέγα-6 πολυακόρεστα λιπαρά οξέα,ωμέγα-6 πολυακόρεστα λιπαρά οξέα
Diet low in seafood omega-3 fatty acids,seafood omega-3 fatty acids,Διατροφή χαμηλή σε ωμέγα-3 λιπαρά οξέα από θαλασσινά,ωμέγα-3 λιπαρά οξέα από θαλασσινά
Diet low in vegetables,vegetables,Διατροφή χαμηλή σε λαχανικά,λαχανικά
Diet low in whole grains,whole grains,Διατροφή χαμηλή σε δημητριακά ολικής άλεσης,δημητριακά ολικής άλεσης
