Trigger ingredient,Explanation of Trigger Ingredient,Translation of trigger ingredient,Explanation of Trigger Ingredient
Beef,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Jautiena,"Raudona mėsa, kurioje natūraliai gausu sočiųjų riebalų rūgščių, yra siejama su padidėjusia lėtinių ligų rizika."
Pork,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Kiauliena,"Raudona mėsa, kurioje natūraliai gausu sočiųjų riebalų rūgščių, yra siejama su padidėjusia lėtinių ligų rizika."
Bacon/lardons,"Highly processed meat containing high levels of sodium, nitrates, and saturated fats.",Šoninė/Šoninės kubeliai,"Labai perdirbta mėsa, kurioje yra daug druskų, nitratų ir sočiųjų riebalų."
Luncheon meat,"Highly processed meat containing high levels of sodium, nitrates, and saturated fats.",Mėsos gaminiai,"Labai perdirbta mėsa, kurioje yra daug druskų, nitratų ir sočiųjų riebalų."
White pasta,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Balti makaronai,"Krakmolingas angliavandenis, iš kurio rafinavimo metu pašalintos natūralios skaidulos, vitaminai ir mineralai."
Canned tuna,Packaged protein source often containing high levels of added sodium from salt-water preservation.,Konservuotas tunas,"Supakuotas baltymų šaltinis, kuriame dažnai yra daug pridėtinės druskos, gaunamo konservuojant sūriame vandenyje."
Soy sauce,Fermented condiment; high sodium density that contributes significantly to salt intake.,Sojų padažas,"Fermentuotas pagardas; didelis natrio kiekis, kuris labai prisideda prie druskos suvartojimo."
Any meat sauce,,Bet koks mėsos padažas,
Minced meat,Animal-based protein source characterized by significant levels of saturated fat and a lack of dietary fiber.,Malta mėsa,"Gyvūninės kilmės baltymų šaltinis, kuriam būdingas didelis sočiųjų riebalų kiekis ir maistinių skaidulų trūkumas."
Butter,Concentrated dairy fat with high levels of saturated fatty acids and cholesterol.,Sviestas,"Koncentruoti pieno riebalai, kuriuose yra daug sočiųjų riebalų rūgščių ir cholesterolio."
General fat choice,,Bendri riebalai,
Low-dairy sauce,,Mažai pieno produktų turintis padažas,
White rice,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Baltieji ryžiai,"Krakmolingas angliavandenis, iš kurio rafinavimo metu pašalintos natūralios skaidulos, vitaminai ir mineralai."
Refined bread,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Šviesi duona,"Krakmolingas angliavandenis, iš kurio rafinavimo metu pašalintos natūralios skaidulos, vitaminai ir mineralai."
Margarine (non-HO),Industrial fat source that may contain partially hydrogenated oils,Margarinas be hidrintų riebalų,"Pramoninių riebalų šaltinis, kuriame gali būti iš dalies hidrintų aliejų"
Salad topping,,Salotų užpilas,
Protein choice,,Proteino pasirinkimas,
SSB,Beverage containing high amounts of free sugars and empty calories with negligible nutritional value.,Saldintas gėrimas,"Gėrimas, kuriame yra daug pridėtinio cukraus ir tuščių kalorijų, o maistinė vertė yra nereikšminga."
Low-dairy breakfast,,Mažai pieno produktų turintys pusryčiai,
Roerbak proteïne,,"Greitai paruošiami, daug baltymų turintys ingridientai, skirti kepti maišant",
Pasta dishes,,Makaronų patiekalas,
Stock cube,Concentrated seasoning typically composed of high levels of sodium and hardened fats.,Sultinio kubelis,"Koncentruoti prieskoniai, paprastai sudaryti iš didelio kiekio druskų ir sukietėjusių riebalų."
Lamb,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Ėriena,"Raudona mėsa, kurioje natūraliai gausu sočiųjų riebalų rūgščių, yra siejama su padidėjusia lėtinių ligų rizika."
Cream,Concentrated dairy fat with high levels of saturated fatty acids and cholesterol.,Grietinėlė,"Koncentruoti pieno riebalai, kuriuose yra daug sočiųjų riebalų rūgščių ir cholesterolio."
White flour,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Balti miltai,"Krakmolingas angliavandenis, iš kurio rafinavimo metu pašalintos natūralios skaidulos, vitaminai ir mineralai."
White couscous,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Baltas kuskusas,"Krakmolingas angliavandenis, iš kurio rafinavimo metu pašalintos natūralios skaidulos, vitaminai ir mineralai."
