Trigger ingredient,Explanation of Trigger Ingredient,Translation of trigger ingredient,Explanation of Trigger Ingredient
Beef,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Rundvlees,Rood vlees dat van nature rijk is aan verzadigde vetzuren en geassocieerd wordt met een verhoogd risico op chronische ziekten.
Pork,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Varkensvlees,Rood vlees dat van nature rijk is aan verzadigde vetzuren en geassocieerd wordt met een verhoogd risico op chronische ziekten.
Bacon/lardons,"Highly processed meat containing high levels of sodium, nitrates, and saturated fats.",Spek,"Sterk bewerkt vlees met hoge gehaltes aan natrium, nitraten en verzadigde vetten."
Luncheon meat,"Highly processed meat containing high levels of sodium, nitrates, and saturated fats.",charcuterie,"Sterk bewerkt vlees met hoge gehaltes aan natrium, nitraten en verzadigde vetten."
White pasta,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Witte pasta,"Zetmeelrijk koolhydraat dat tijdens de raffinage zijn natuurlijke vezels, vitamines en mineralen heeft verloren."
Canned tuna,Packaged protein source often containing high levels of added sodium from salt-water preservation.,Tonijn uit blik,Verpakte eiwitbron die vaak hoge gehaltes aan toegevoegd natrium bevat door conservering in zoutwater.
Soy sauce,Fermented condiment; high sodium density that contributes significantly to salt intake.,Sojasaus,Gefermenteerde smaakmaker; hoge natriumdichtheid die aanzienlijk bijdraagt aan de zoutinname.
Any meat sauce,,Elke vleessaus,
Minced meat,Animal-based protein source characterized by significant levels of saturated fat and a lack of dietary fiber.,Gehakt,Dierlijke eiwitbron gekenmerkt door aanzienlijke hoeveelheden verzadigd vet en een gebrek aan voedingsvezels.
Butter,Concentrated dairy fat with high levels of saturated fatty acids and cholesterol.,Boter,Geconcentreerd zuivelvet met hoge gehaltes aan verzadigde vetzuren en cholesterol.
General fat choice,,Algemene vetkeuze,
Low-dairy sauce,,Zuivelarme saus,
White rice,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Witte rijst,"Zetmeelrijk koolhydraat dat tijdens de raffinage zijn natuurlijke vezels, vitamines en mineralen heeft verloren."
Refined bread,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Wit brood,"Zetmeelrijk koolhydraat dat tijdens de raffinage zijn natuurlijke vezels, vitamines en mineralen heeft verloren."
Margarine (non-HO),Industrial fat source that may contain partially hydrogenated oils,Harde margarine,Industriële vetbron die gedeeltelijk geharde oliën kan bevatten
Salad topping,,Saladetopping,
Protein choice,,Eiwit keuze,
SSB,Beverage containing high amounts of free sugars and empty calories with negligible nutritional value.,Suikerhoudende drank,Drank met hoge hoeveelheden vrije suikers en lege calorieën met verwaarloosbare voedingswaarde.
Low-dairy breakfast,,Zuivelarm ontbijt,
Roerbak proteïne,,Roerbak proteïne,
Pasta dishes,,Pastagerechten,
Stock cube,Concentrated seasoning typically composed of high levels of sodium and hardened fats.,Bouillonblokje,Geconcentreerde kruiderij die doorgaans bestaat uit hoge gehaltes aan natrium en geharde vetten.
Lamb,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Lamsvlees,Rood vlees dat van nature rijk is aan verzadigde vetzuren en geassocieerd wordt met een verhoogd risico op chronische ziekten.
Cream,Concentrated dairy fat with high levels of saturated fatty acids and cholesterol.,Room,Geconcentreerd zuivelvet met hoge gehaltes aan verzadigde vetzuren en cholesterol.
White flour,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Wit meel,"Zetmeelrijk koolhydraat dat tijdens de raffinage zijn natuurlijke vezels, vitamines en mineralen heeft verloren."
White couscous,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Witte couscous,"Zetmeelrijk koolhydraat dat tijdens de raffinage zijn natuurlijke vezels, vitamines en mineralen heeft verloren."
