Recommendation,Recommendation - alligned,Trigger Ingredient,Role or Technique,Rationale for combination (OPT),Translation of rationale for combination
Decrease red meat,Decrease red meat,Beef,minced in sauce,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,Biedt plantaardige texturen die goed integreren in sauzen met behoud van hartige diepte.
Decrease red meat,Decrease red meat,Beef,cubes stew,Focuses on chunky alternatives that hold their shape during long cooking or simmering.,Richt zich op grove alternatieven die hun vorm behouden tijdens lang koken of sudderen.
Decrease red meat,Decrease red meat,Beef,steak centerpiece,Prioritizes options with a firm bite and high umami to serve as the main focal point.,Geeft voorrang aan opties met een stevige beet en veel umami als hoofdbestanddeel.
Decrease red meat,Decrease red meat,Pork,minced in sauce,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,Biedt plantaardige texturen die goed integreren in sauzen met behoud van hartige diepte.
Decrease red meat,Decrease red meat,Pork,cubes stew,Focuses on chunky alternatives that hold their shape during long cooking or simmering.,Richt zich op grove alternatieven die hun vorm behouden tijdens lang koken of sudderen.
Decrease processed meat,Decrease processed meat,Bacon/lardons,flavoring,Optimized for flavoring to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor smaakgeving zodat de vervanging past bij de structuur en smaak van het gerecht.
Decrease processed meat,Decrease processed meat,Luncheon meat,sandwich fill,Optimized for sandwich fill to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor sandwichvulling zodat de vervanging past bij de structuur en smaak van het gerecht.
Decrease processed meat,Decrease processed meat,Luncheon meat,,,
Increase whole grains,Diet low in whole grains,White flour,bread pizza,Increases fiber and whole grain content while preserving structural integrity and bite.,Verhoogt het vezel- en volkorengehalte met behoud van structurele integriteit en bijt.
Increase whole grains,Diet low in whole grains,White pasta,pasta,Increases fiber and whole grain content while preserving structural integrity and bite.,Verhoogt het vezel- en volkorengehalte met behoud van structurele integriteit en bijt.
Decrease sodium,Decrease sodium,Canned tuna,brine pack,Optimized for brine pack to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor pekelverpakking zodat de vervanging past bij de structuur en smaak van het gerecht.
Decrease sodium,Decrease sodium,Soy sauce,seasoning,Optimized for seasoning to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor kruiderij zodat de vervanging past bij de structuur en smaak van het gerecht.
Increase vegetables,Diet low in vegetables,Any meat sauce,sauce addin,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,Biedt plantaardige texturen die goed integreren in sauzen met behoud van hartige diepte.
Increase legumes,Diet low in legumes,Minced meat,chili burgers,Optimized for chili burgers to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor chiliburgers zodat de vervanging past bij de structuur en smaak van het gerecht.
Decrease saturated fat,Decrease trans fatty acids,Butter,sauté fat,Balances heat stability for cooking with a healthier fatty acid profile.,Brengt de hittestabiliteit voor het koken in evenwicht met een gezonder vetzuurprofiel.
Decrease saturated fat,Decrease trans fatty acids,Butter,baking fat,Balances heat stability for cooking with a healthier fatty acid profile.,Brengt de hittestabiliteit voor het koken in evenwicht met een gezonder vetzuurprofiel.
Increase omega-3 PUFA,Diet low in omega-6 polyunsaturated fatty acids,General fat choice,finish oil,Balances heat stability for cooking with a healthier fatty acid profile.,Brengt de hittestabiliteit voor het koken in evenwicht met een gezonder vetzuurprofiel.
Increase calcium,Diet low in calcium,Low-dairy sauce,cream swap,Optimized for cream swap to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor roomvervanging zodat de vervanging past bij de structuur en smaak van het gerecht.
Increase fiber,Diet low in fiber,White rice,staple,Optimized for staple to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor basisproduct zodat de vervanging past bij de structuur en smaak van het gerecht.
Increase fiber,Diet low in fiber,Refined bread,bread,Increases fiber and whole grain content while preserving structural integrity and bite.,Verhoogt het vezel- en volkorengehalte met behoud van structurele integriteit en bijt.
Decrease trans fatty acids,Decrease trans fatty acids,Margarine (non-HO),baking fat,Balances heat stability for cooking with a healthier fatty acid profile.,Brengt de hittestabiliteit voor het koken in evenwicht met een gezonder vetzuurprofiel.
Increase nuts and seeds,Diet low in nuts and seeds,Salad topping,topping,Optimized for topping to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor topping zodat de vervanging past bij de structuur en smaak van het gerecht.
Increase seafood omega-3,Diet low in seafood omega-3 fatty acids,Protein choice,swap in,Optimized for swap in to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor vervanging zodat de vervanging past bij de structuur en smaak van het gerecht.
Decrease sugar-sweetened beverages,Decrease sugar-sweetened beverages,SSB,beverage,Optimized for beverage to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor drank zodat de vervanging past bij de structuur en smaak van het gerecht.
Increase milk,Diet low in milk,Low-dairy breakfast,swap in,Optimized for swap in to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor vervanging zodat de vervanging past bij de structuur en smaak van het gerecht.
Increase legumes,Diet low in legumes,Roerbak proteïne,stirfry protein,Optimized for stirfry protein to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor roerbakeiwit zodat de vervanging past bij de structuur en smaak van het gerecht.
Increase vegetables,Diet low in vegetables,Pasta dishes,veg boost,Increases nutrient density and volume without compromising the dish's flavor profile.,Verhoogt de voedingsdichtheid en het volume zonder het smaakprofiel van het gerecht aan te tasten.
Decrease sodium,Decrease sodium,Stock cube,broth base,Optimized for broth base to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor bouillonbasis zodat de vervanging past bij de structuur en smaak van het gerecht.
Decrease red meat,Decrease red meat,Lamb,curry cubes,Focuses on chunky alternatives that hold their shape during long cooking or simmering.,Richt zich op grove alternatieven die hun vorm behouden tijdens lang koken of sudderen.
Decrease saturated fat,Decrease trans fatty acids,Cream,sauce enricher,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,Biedt plantaardige texturen die goed integreren in sauzen met behoud van hartige diepte.
Increase whole grains,Diet low in whole grains,White flour,roux binder,Optimized for roux binder to ensure the substitution fits the dish's structure and taste.,Geoptimaliseerd voor rouxbinder zodat de vervanging past bij de structuur en smaak van het gerecht.
