name,Explanation of Role,Translation of name,Translation of explanation of Role
steak centerpiece,Main centerpiece ingredient that provides chew and acts as the focal point of the plate.,steak hoofdgerecht,Hoofd ingrediënt dat zorgt voor bijt en fungeert als het middelpunt van het bord.
minced in sauce,"Ground ingredient that disperses through the sauce to add body, texture, and savory depth.",gehakt in saus,"Gemalen ingrediënt dat zich verdeelt door de saus om body, textuur en hartige diepte toe te voegen."
cubes stew,Chunked ingredient that keeps its shape and adds bite in slow-cooked dishes.,blokjes stoofpot,Grof gesneden ingrediënt dat zijn vorm behoudt en bijt toevoegt aan langzaam gegaarde gerechten.
flavoring,"Small flavor ingredient used to add saltiness, smokiness, and depth.",smaakmaker,"Klein smaakgevend ingrediënt dat wordt gebruikt voor zoutheid, rookaroma en diepte."
sandwich fill,Primary sandwich filling that adds bulk and savory taste.,sandwichvulling,Primaire sandwichvulling die volume en hartige smaak toevoegt.
bread pizza,Base ingredient that provides the structure of the pizza-style dish.,brood pizza,Basisingrediënt dat de structuur van het pizzagerecht biedt.
pasta,Main starch base that provides structure and bulk.,pasta,Voornaamste zetmeelbasis die structuur en volume biedt.
brine pack,Tuna preserved in brine and used as a protein source in the dish.,pekelverpakking,Tonijn geconserveerd in pekel en gebruikt als eiwitbron in het gerecht.
seasoning,Seasoning ingredient used to add saltiness and umami.,kruiden,Kruideningrediënt dat wordt gebruikt voor zoutheid en umami.
sauce addin,"Ingredient added to sauce to increase body, flavor, and nutrients.",saustoevoeging,"Ingrediënt toegevoegd aan saus voor meer body, smaak en voedingsstoffen."
chili burgers,Protein base used to build the burger or chili mixture.,chiliburgers,Eiwitbasis die wordt gebruikt om de burger- of chilimix te vormen.
sauté fat,"Fat used for cooking, adding moisture, and supporting texture development.",bakvet,"Vet dat wordt gebruikt voor het bakken, vocht toevoegen en textuurontwikkeling."
finish oil,Oil added at the end for aroma and richness.,afwerkolie,Olie die aan het einde wordt toegevoegd voor aroma en rijkheid.
cream swap,Cream replacement used to keep a sauce creamy.,roomvervanging,Roomvervanging die wordt gebruikt om een saus romig te houden.
bread,Bread component that provides structure and bulk.,brood,Broodcomponent dat structuur en volume biedt.
baking fat,"Fat used for cooking, adding moisture, and supporting texture development.",bakvet ,"Vet dat wordt gebruikt voor het bakken, vocht toevoegen en textuurontwikkeling."
topping,Topping added for crunch and extra nutrients.,topping,Topping toegevoegd voor crunch en extra voedingsstoffen.
beverage,Functional ingredient in the dish that serves the role of beverage.,drank,Functioneel ingrediënt in het gerecht dat de rol van drank vervult.
swap in,Replacement ingredient used as the main substitute in the dish.,vervanging,Vervangend ingrediënt dat als de belangrijkste vervanging in het gerecht wordt gebruikt.
stirfry protein,Protein component used in a stir-fry.,roerbakproteïne,Eiwitcomponent die wordt gebruikt in een roerbakgerecht.
veg boost,Vegetable addition used to increase volume and nutrient density.,groenteboost,Groentetoevoeging die wordt gebruikt om volume en voedingsdichtheid te verhogen.
broth base,Base ingredient used to build the flavor of soups or sauces.,bouillonbasis,Basisingrediënt dat wordt gebruikt om de smaak van soepen of sauzen op te bouwen.
curry cubes,Functional ingredient in the dish that serves the role of curry cubes.,curryblokjes,Functioneel ingrediënt in het gerecht dat de rol van curryblokjes vervult.
sauce enricher,Functional ingredient in the dish that serves the role of sauce enricher.,sausverrijker,Functioneel ingrediënt in het gerecht dat de rol van sausverrijker vervult.
roux binder,Flour used to thicken and bind a sauce.,rouxbinder,Meel dat wordt gebruikt om een saus te binden en te verdikken.
staple,Main carbohydrate base of the meal.,basisproduct,Voornaamste koolhydraatbasis van de maaltijd.
