Recommendation,Component for scoring,Translation of recommendation,Translation of component for scoring
Decrease processed meat,processed meat,Verminder bewerkt vlees,bewerkt vlees
Decrease red meat,red meat,Verminder rood vlees,rood vlees
Decrease sodium,sodium,Verminder zout,zout
Decrease sugar-sweetened beverages,sugar-sweetened beverages,Verminder suikerhoudende dranken,suikerhoudende dranken
Decrease trans fatty acids,trans fatty acids,Verminder transvetzuren,transvetzuren
Diet low in calcium,calcium,Voedingspatroon laag in calcium,calcium
Diet low in fiber,fiber,Voedingspatroon arm aan vezels,vezels
Diet low in fruits,fruits,Voedingspatroon laag in fruit,fruit
Diet low in legumes,legumes,Voedingspatroon laag in peulvruchten,peulvruchten
Diet low in milk,milk,Voedingspatroon arm aan melk,melk
Diet low in nuts and seeds,nuts and seeds,Voedingspatroon arm aan noten en zaden,noten en zaden
Diet low in omega-6 polyunsaturated fatty acids,omega-6 polyunsaturated fatty acids,Voedingspatroon arm aan omega-6 meervoudig onverzadigde vetzuren,omega-6 meervoudig onverzadigde vetzuren
Diet low in seafood omega-3 fatty acids,seafood omega-3 fatty acids,Voedingspatroon arm aan omega-3-vetzuren uit vis en zeevruchten,omega-3-vetzuren uit vis en zeevruchten
Diet low in vegetables,vegetables,Voedingspatroon arm aan groenten,groenten
Diet low in whole grains,whole grains,Voedingspatroon laag in volkoren granen,volkoren granen
