Recommendation,Recommendation - alligned,Trigger Ingredient,Role or Technique,Rationale for combination (OPT),Translation of rationale for combination
Decrease red meat,Decrease red meat,Beef,minced in sauce,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,"Suteikia augalinės kilmės tekstūras, kurios gerai dera su padažais, išlaikant pikantišką sodrumą."
Decrease red meat,Decrease red meat,Beef,cubes stew,Focuses on chunky alternatives that hold their shape during long cooking or simmering.,"Dėmesys sutelkiamas į stambesnias alternatyvas, kurios išlaiko formą ilgai verdant ar troškinant."
Decrease red meat,Decrease red meat,Beef,steak centerpiece,Prioritizes options with a firm bite and high umami to serve as the main focal point.,"Pirmenybę teikia tvirto skonio ir daug umami turintiems variantams, kurie yra pagrindinis patiekalo akcentas."
Decrease red meat,Decrease red meat,Pork,minced in sauce,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,"Suteikia augalinės kilmės tekstūras, kurios gerai dera su padažais, išlaikant pikantišką sodrumą."
Decrease red meat,Decrease red meat,Pork,cubes stew,Focuses on chunky alternatives that hold their shape during long cooking or simmering.,"Dėmesys sutelkiamas į stambesnes alternatyvas, kurios išlaiko formą ilgai verdant ar troškinant."
Decrease processed meat,Decrease processed meat,Bacon/lardons,flavoring,Optimized for flavoring to ensure the substitution fits the dish's structure and taste.,"Skonis optimizuotas siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Decrease processed meat,Decrease processed meat,Luncheon meat,sandwich fill,Optimized for sandwich fill to ensure the substitution fits the dish's structure and taste.,"Optimizuotas sumuštinių įdarui, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Decrease processed meat,Decrease processed meat,Luncheon meat,,,
Increase whole grains,Diet low in whole grains,White flour,bread pizza,Increases fiber and whole grain content while preserving structural integrity and bite.,"Padidina skaidulų ir neskaldytų grūdų kiekį, išsaugant struktūrinį vientisumą."
Increase whole grains,Diet low in whole grains,White pasta,pasta,Increases fiber and whole grain content while preserving structural integrity and bite.,"Padidina skaidulų ir neskaldytų grūdų kiekį, išsaugant struktūrinį vientisumą."
Decrease sodium,Decrease sodium,Canned tuna,brine pack,Optimized for brine pack to ensure the substitution fits the dish's structure and taste.,"Optimizuota sūrymo rinkiniui, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Decrease sodium,Decrease sodium,Soy sauce,seasoning,Optimized for seasoning to ensure the substitution fits the dish's structure and taste.,"Optimizuota sūrymo rinkiniui, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
Increase vegetables,Diet low in vegetables,Any meat sauce,sauce addin,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,"Suteikia augalinės kilmės tekstūras, kurios gerai dera su padažais, išlaikant pikantišką sodrumą."
Increase legumes,Diet low in legumes,Minced meat,chili burgers,Optimized for chili burgers to ensure the substitution fits the dish's structure and taste.,"Optimizuota čili mėsainiams, siekiant užtikrinti, kad pakeitimas atitiktų patiekalo struktūrą ir skonį."
