name,Explanation of Role,Translation of name,Translation of explanation of Role
steak centerpiece,Main centerpiece ingredient that provides chew and acts as the focal point of the plate.,Pagrindinė kepsnio dalis,"Pagrindinis ingredientas, kuris suteikia kramtymo malonumo ir yra lėkštės akcentas."
minced in sauce,"Ground ingredient that disperses through the sauce to add body, texture, and savory depth.",Sumalta padaže,"Maltas ingredientas, kuris išsisklaido padaže, suteikdamas jam sodrumo, tekstūros ir pikantiškumo."
cubes stew,Chunked ingredient that keeps its shape and adds bite in slow-cooked dishes.,Kubelių troškinys,"Susmulkintas ingredientas, kuris išlaiko formą ir suteikia pikantiškumo lėtai ruošiamiems patiekalams."
flavoring,"Small flavor ingredient used to add saltiness, smokiness, and depth.",Kvapiosios medžiagos,"Mažas skonio ingredientas, naudojamas sūrumui, dūmo poskoniui ir skonio gilumui suteikti."
sandwich fill,Primary sandwich filling that adds bulk and savory taste.,Sumuštinio įdaras,"Pagrindinis sumuštinio įdaras, suteikiantis apimties ir pikantiško skonio."
bread pizza,Base ingredient that provides the structure of the pizza-style dish.,Duonos pica,"Pagrindinis ingredientas, suteikiantis picos stiliaus patiekalui struktūrą."
pasta,Main starch base that provides structure and bulk.,Makaronai,"Pagrindinis krakmolo pagrindas, suteikiantis struktūrą ir tūrį."
brine pack,Tuna preserved in brine and used as a protein source in the dish.,Sūrymo pakuotė,"Tunas, konservuotas sūryme ir naudojamas kaip baltymų šaltinis patiekale."
seasoning,Seasoning ingredient used to add saltiness and umami.,Prieskoniai,"Prieskonių ingredientas, naudojamas sūrumui ir umami skoniu suteikti."
sauce addin,"Ingredient added to sauce to increase body, flavor, and nutrients.",Padažo priedas,"Ingredientas, dedamas į padažą, kad suteiktų jam tirštumo, skonio ir maistingumo."
chili burgers,Protein base used to build the burger or chili mixture.,Čili mėsainiai,"Baltymų pagrindas, naudojamas mėsainių arba čili mišinio gamybai."
sauté fat,"Fat used for cooking, adding moisture, and supporting texture development.",Sauté riebalai,"Riebalai, naudojami maisto ruošimui, drėgmės suteikimui ir tekstūros formavimuisi."
finish oil,Oil added at the end for aroma and richness.,Pabaigoje įdedamas aliejus,"Aliejus, įdedamas į produktą gamybos pabaigoje, dėl kvapo ir sodrumo."
cream swap,Cream replacement used to keep a sauce creamy.,Grietinėlės pakaitalas,"Grietinėlės pakaitalas, naudojamas padažui išlaikyti kreminį."
bread,Bread component that provides structure and bulk.,Duona,"Duonos komponentas, suteikiantis struktūrą ir tūrį."
baking fat,"Fat used for cooking, adding moisture, and supporting texture development.",Kepimo riebalai,"Riebalai, naudojami maisto ruošimui, drėgmės suteikimui ir tekstūros formavimuisi."
topping,Topping added for crunch and extra nutrients.,Užpilas,Traškumui ir papildomoms maistinėms medžiagoms pridėti užpilai.
beverage,Functional ingredient in the dish that serves the role of beverage.,Gėrimas,"Funkcinis patiekalo ingredientas, atliekantis gėrimo funkciją."
swap in,Replacement ingredient used as the main substitute in the dish.,Pakaitalas,"Pakaitinis ingredientas, naudojamas kaip pagrindinis patiekalo pakaitalas."
stirfry protein,Protein component used in a stir-fry.,Greitas kepimas riebaluose,"Baltymų komponentas, naudojamas greito kepimo metu."
veg boost,Vegetable addition used to increase volume and nutrient density.,Daržovių papildymas,Daržovių priedas naudojamas tūriui ir maistinių medžiagų kiekiui padidinti.
broth base,Base ingredient used to build the flavor of soups or sauces.,Sultinio pagrindas,"Bazinis ingredientas, naudojamas sriubų ar padažų skoniui sustiprinti."
curry cubes,Functional ingredient in the dish that serves the role of curry cubes.,Kario kubeliai,"Funkcinis patiekalo ingredientas, atliekantis kario kubelių vaidmenį."
sauce enricher,Functional ingredient in the dish that serves the role of sauce enricher.,Padažo sodriklis,"Funkcinis patiekalo ingredientas, kuris atlieka padažo sodrinimo funkciją."
roux binder,Flour used to thicken and bind a sauce.,Miltų ir riebalų mišinio rišamoji medžiaga,"Miltai, naudojami padažui tirštinti ir surišti."
staple,Main carbohydrate base of the meal.,Pagrindinis patiekalas,Pagrindinis valgio angliavandenių pagrindas.
