name of alternative,Translation
+50–100% beans/lentils, +50–100% περισσότερα φασόλια/φακές
50/50 mix (white+wholegrain),Μείγμα 50/50 (λευκό+ολικής άλεσης)
Add 150–250g veg per 4p,Προσθέστε 150–250γρ λαχανικών ανά 4 άτομα
Add barley (soup/stews),Προσθέστε κριθαριού (σούπες/γιαχνί)
Add legumes to sauce,Προσθέστε οσπρίων στη σάλτσα
Add seeds mix,Προσθέστε μείγματος σπόρων
Apple sauce (up to 30%),Σάλτσα μήλου (έως 30%)
Avocado purée (partial),Πουρές αβοκάντο (μερική αντικατάσταση)
Brown lentils (cooked),Καφέ φακές (μαγειρεμένες)
Brown rice,Καστανό ρύζι
Bulgur,Πλιγούρι
Butter or HO margarine,Βούτυρο ή μαργαρίνη υψηλής περιεκτικότητας σε ελαϊκό οξύ
Canned in spring water,Κονσερβοποιημένο σε φυσικό νερό
Cashew cream,Κρέμα από κάσιους
Chickpea + aubergine mix,Μείγμα ρεβιθιών και μελιτζάνας
Chickpea flour (partial),Αλεύρι ρεβιθιού (μερική αντικατάσταση)
Coconut aminos,Aμινοξέα καρύδας
Courgette (grated),Κολοκυθάκι (τριμμένο)
Evaporated milk,Γάλα εβαπορέ
Extra virgin rapeseed oil,Έξτρα παρθένο κραμβέλαιο
Firm tofu,Σκληρό τόφου
Firm tofu cubes,Kύβοι σκληρού τόφου
Flaxseed oil,Λινέλαιο
Fortified oat drink,Εμπλουτισμένο ρόφημα βρώμης
Fortified plant drink,Εμπλουτισμένο φυτικό ρόφημα
Fresh tuna,Φρέσκος τόνος
Greek yogurt (30–50% swap),Ελληνικό γιαούρτι (αντικατάσταση 30–50%)
Grilled portobello,Ψητά μανιτάρια πορτομπέλο
Half brown/half white,Μισό καστανό / μισό λευκό
Half butter/half oil,Μισό βούτυρο / μισό λάδι
Half cube + extra herbs,Μισός κύβος + επιπλέον βότανα
Half tuna + half beans,Μισό τόνος + μισό φασόλια
Homemade veg stock,Σπιτικός ζωμός λαχανικών
Hummus + walnut,Χούμους + καρύδια
Jackfruit chunks,Κομμάτια τζάκφρουτ
Lentil–oat burger mix,Μείγμα για μπιφτέκια από φακές και βρώμη
Low-fat milk,Γάλα με χαμηλά λιπαρά
Low-fat yogurt,Γιαούρτι με χαμηλά λιπαρά
Low-salt stock,Ζωμός με χαμηλό αλάτι
Low-sodium soy sauce,Σάλτσα σόγιας με χαμηλό νάτριο
Mackerel,Σκουμπρί
Miso paste + water,Πάστα μίσο + νερό
Mushroom + soy sauce,Μανιτάρια + σάλτσα σόγιας
Mushrooms + carrot + pepper,Μανιτάρια + καρότο + πιπεριά
Mushroom–lentil mix,Μείγμα μανιταριών και φακής
Neutral oil (75% of butter weight),Ουδέτερο λάδι (στο 75% του βάρους του βούτυρου)
Oat flour (partial),Αλεύρι βρώμης (μερική αντικατάσταση)
Olive oil,Ελαιόλαδο
Olive oil + smoked paprika,Ελαιόλαδο + καπνιστή πάπρικα
Olive oil swap (partial),Αντικατάσταση με ελαιόλαδο (μερική)
Paneer (if dairy ok),Ινδικού τύπου τυρί πανίρ (αν επιτρέπονται τα γαλακτοκομικά)
Pulse flour blend (20–30%),Μείγμα αλεύρων από όσπρια (20–30%)
Pulse pasta,Ζυμαρικά από όσπρια
Pumpkin seeds,Κολοκυθόσποροι
Quinoa,Κινόα
Rapeseed oil,Κραμβέλαιο
Replace 50–100% with soy mince,Αντικαταστήστε 50–100% με κιμά σόγιας
Roasted chickpea spread,Επάλειμμα από ψητά ρεβίθια
Salmon,Σολομός
Sardines,Σαρδέλες
Seitan,Σεϊτάν
Seitan chunks,Κομμάτια σεϊτάν
Seitan steak,Φιλέτο σεϊτάν
Silken tofu cream,Κρέμα τόφου
Skimmed milk + roux,Αποβουτυρωμένο γάλα + ρου
Skyr/yogurt,Γιαούρτι
Smoked tofu cubes,Κύβοι καπνιστού τόφου
Sourdough wholegrain,Ψωμί ολικής άλεσης με προζύμι
Soy mince,Κιμάς σόγιας
Sparkling water,Ανθρακούχο νερό
Spelt (partial),Ντίνκελ (μερική αντικατάσταση)
Spinach (chopped),Σπανάκι (ψιλοκομμένο)
Sunflower seeds,Ηλιόσποροι
Swap 50% pasta → veg noodles,Αντικατάσταση 50% των ζυμαρικών με noodles λαχανικών
Tempeh,Τέμπε
Tofu cubes,Κύβοι τόφου
Tofu steak,Φιλέτο τόφου
Unsweetened tea,Τσάι χωρίς ζάχαρη
Walnut oil,Καρυδέλαιο
Walnuts,Καρύδια
Water + fruit infusion,Νερό + εκχύλισμα φρούτων
Whole grain flour (blend 50%),Αλεύρι ολικής άλεσης (μείγμα 50%)
Wholegrain bread,Ψωμί ολικής άλεσης
Wholegrain pasta,Ζυμαρικά ολικής άλεσης
Wholemeal flour (25–50%),Αλεύρι ολικής άλεσης (25–50%)
Wholewheat couscous,Κουσκούς ολικής άλεσης
Young jackfruit chunks,Κομμάτια νεαρού τζάκφρουτ
