Recommendation,Recommendation - alligned,Trigger Ingredient,Role or Technique,Rationale for combination (OPT),Translation of rationale for combination
Decrease red meat,Decrease red meat,Beef,minced in sauce,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,"Προσφέρει φυτικές υφές που ενσωματώνονται καλά στις σάλτσες, διατηρώντας παράλληλα το γευστικό βάθος."
Decrease red meat,Decrease red meat,Beef,cubes stew,Focuses on chunky alternatives that hold their shape during long cooking or simmering.,Εστιάζει σε εναλλακτικές λύσεις με μεγάλα κομμάτια που διατηρούν το σχήμα τους κατά το παρατεταμένο μαγείρεμα ή το σιγοβράσιμο.
Decrease red meat,Decrease red meat,Beef,steak centerpiece,Prioritizes options with a firm bite and high umami to serve as the main focal point.,"Δίνει προτεραιότητα σε επιλογές με στιβαρή υφή και υψηλή ένταση ουμάμι, ώστε να λειτουργούν ως το κεντρικό στοιχείο του πιάτου."
Decrease red meat,Decrease red meat,Pork,minced in sauce,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,"Προσφέρει φυτικές υφές που ενσωματώνονται αρμονικά στις σάλτσες, διατηρώντας παράλληλα το γευστικό βάθος."
Decrease red meat,Decrease red meat,Pork,cubes stew,Focuses on chunky alternatives that hold their shape during long cooking or simmering.,Εστιάζει σε εναλλακτικές λύσεις με μεγάλα κομμάτια που διατηρούν το σχήμα τους κατά το παρατεταμένο μαγείρεμα ή το σιγοβράσιμο.
Decrease processed meat,Decrease processed meat,Bacon/lardons,flavoring,Optimized for flavoring to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο ως προς το άρωμα, ώστε να διασφαλίζεται ότι η υποκατάσταση ταιριάζει στη δομή και τη γεύση του πιάτου."
Decrease processed meat,Decrease processed meat,Luncheon meat,sandwich fill,Optimized for sandwich fill to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο για γέμιση σάντουιτς, ώστε να διασφαλίζεται ότι η υποκατάσταση ταιριάζει στη δομή και στη γεύση του πιάτου."
Decrease processed meat,Decrease processed meat,Luncheon meat,,,
Increase whole grains,Diet low in whole grains,White flour,bread pizza,Increases fiber and whole grain content while preserving structural integrity and bite.,"Αυξάνει την περιεκτικότητα σε φυτικές ίνες και σε περιεχόμενο ολικής άλεσης, διατηρώντας παράλληλα τη δομική ακεραιότητα και την αίσθηση στο δόντι."
Increase whole grains,Diet low in whole grains,White pasta,pasta,Increases fiber and whole grain content while preserving structural integrity and bite.,"Αυξάνει την περιεκτικότητα σε φυτικές ίνες και ολική άλεση, διατηρώντας παράλληλα τη δομική ακεραιότητα και την αίσθηση στη μάσηση."
Decrease sodium,Decrease sodium,Canned tuna,brine pack,Optimized for brine pack to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο για συσκευασία σε άλμη, ώστε να διασφαλίζεται ότι η υποκατάσταση ταιριάζει στη δομή και στη γεύση του πιάτου."
Decrease sodium,Decrease sodium,Soy sauce,seasoning,Optimized for seasoning to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο ως προς το καρύκευμα, ώστε να διασφαλίζεται ότι η υποκατάσταση ταιριάζει στη δομή και στη γεύση του πιάτου."
Increase vegetables,Diet low in vegetables,Any meat sauce,sauce addin,Provides plant-based textures that integrate well into sauces while maintaining savory depth.,"Προσφέρει φυτικές υφές που ενσωματώνονται αρμονικά στις σάλτσες, διατηρώντας παράλληλα το γευστικό βάθος."
Increase legumes,Diet low in legumes,Minced meat,chili burgers,Optimized for chili burgers to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο  μείγμα για πικάντικα μπιφτέκια, ώστε να διασφαλίζεται ότι η υποκατάσταση ταιριάζει στη δομή και στη γεύση του πιάτου."
Decrease saturated fat,Decrease trans fatty acids,Butter,sauté fat,Balances heat stability for cooking with a healthier fatty acid profile.,Εξισορροπεί τη θερμική σταθερότητα κατά το μαγείρεμα με ένα πιο υγιεινό προφίλ λιπαρών οξέων.
Decrease saturated fat,Decrease trans fatty acids,Butter,baking fat,Balances heat stability for cooking with a healthier fatty acid profile.,Εξισορροπεί τη θερμική σταθερότητα κατά το μαγείρεμα με ένα πιο υγιεινό προφίλ λιπαρών οξέων.
Increase omega-3 PUFA,Diet low in omega-6 polyunsaturated fatty acids,General fat choice,finish oil,Balances heat stability for cooking with a healthier fatty acid profile.,Εξισορροπεί τη θερμική σταθερότητα κατά το μαγείρεμα με ένα πιο υγιεινό προφίλ λιπαρών οξέων.
Increase calcium,Diet low in calcium,Low-dairy sauce,cream swap,Optimized for cream swap to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο για αντικατάσταση κρέμας γάλακτος, ώστε να διασφαλίζεται ότι το υποκατάστατο ταιριάζει στη δομή και στη γεύση του πιάτου."
Increase fiber,Diet low in fiber,White rice,staple,Optimized for staple to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο για χρήση ως βασικό συστατικό, ώστε να διασφαλίζεται ότι η υποκατάσταση ταιριάζει στη δομή και στη γεύση του πιάτου."
Increase fiber,Diet low in fiber,Refined bread,bread,Increases fiber and whole grain content while preserving structural integrity and bite.,"Αυξάνει την περιεκτικότητα σε φυτικές ίνες και σε περιεχόμενο ολικής άλεσης, διατηρώντας παράλληλα τη δομική ακεραιότητα και την αίσθηση στη μάσηση."
Decrease trans fatty acids,Decrease trans fatty acids,Margarine (non-HO),baking fat,Balances heat stability for cooking with a healthier fatty acid profile.,Εξισορροπεί τη θερμική σταθερότητα κατά το μαγείρεμα με ένα πιο υγιεινό προφίλ λιπαρών οξέων.
Increase nuts and seeds,Diet low in nuts and seeds,Salad topping,topping,Optimized for topping to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο για γαρνίρισμα, ώστε να διασφαλίζεται ότι η υποκατάσταση ταιριάζει στη δομή και στη γεύση του πιάτου."
Increase seafood omega-3,Diet low in seafood omega-3 fatty acids,Protein choice,swap in,Optimized for swap in to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο για συστατικό αντικατάστασης, ώστε να διασφαλίζεται ότι το υποκατάστατο ταιριάζει στη δομή και στη γεύση του πιάτου."
Decrease sugar-sweetened beverages,Decrease sugar-sweetened beverages,SSB,beverage,Optimized for beverage to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο για προσθήκη σε ροφήματα, ώστε να διασφαλίζεται ότι η υποκατάσταση ταιριάζει στη δομή και στη γεύση του αποτελέσματος."
Increase milk,Diet low in milk,Low-dairy breakfast,swap in,Optimized for swap in to ensure the substitution fits the dish's structure and taste.,"Βελτιστοποιημένο για συστατικό αντικατάστασης, ώστε να διασφαλίζεται ότι το υποκατάστατο ταιριάζει στη δομή και στη γεύση του πιάτου."
