name of alternative,Translation
+50–100% beans/lentils,+50-100% pupelių/lęšių
50/50 mix (white+wholegrain),50/50 maišytų (baltų+pilno grūdo)
Add 150–250g veg per 4p,Pridėti 150-250g daržovių per 4p
Add barley (soup/stews),Įdėti miežių (sriuba/troškinys)
Add legumes to sauce,Įdėti ankštinių daržovių į padažą
Add seeds mix,Įdėti sėklų mišinio
Apple sauce (up to 30%),Obuolių padažas (iki 30%)
Avocado purée (partial),Avokadų piure (dalinai)
Brown lentils (cooked),Rudieji lęšiai (apdoroti)
Brown rice,Rudieji ryžiai
Bulgur,Bulguras
Butter or HO margarine,Sviestas arba HO margarinas
Canned in spring water,Konservuotas šaltinio vandenyje
Cashew cream,Anakardžių kremas
Chickpea + aubergine mix,Avinžirnių + baklažanų miksas
Chickpea flour (partial),Avinžirnių miltai (dalinai)
Coconut aminos,Kokosų aminorūgštys
Courgette (grated),Tarkuotos cukinijos
Evaporated milk,Išgarintas pienas
Extra virgin rapeseed oil,Ypač tyras rapsų aliejus
Firm tofu,Kietas tofu
Firm tofu cubes,Kieti tofu kubeliai
Flaxseed oil,Linų sėmėnų aliejus
Fortified oat drink,Spirituotas avižų gėrimas
Fortified plant drink,Spirituotas augalinis gėrimas
Fresh tuna,Šviežias tunas
Greek yogurt (30–50% swap),Graikiškas jogurtas (30–50% keitimas)
Grilled portobello,Keptas portobelo grybas
Half brown/half white,Pusė rudo/pusė balto
Half butter/half oil,Pusė sviesto/pusė aliejaus
Half cube + extra herbs,Pusė kubelio + papildomos žolelės
Half tuna + half beans,Pusė tuno + pusė pupelių
Homemade veg stock,Naminis daržovių sultinys
Hummus + walnut,Humusas + graikinis riešutas
Jackfruit chunks,Duonvaisio gabalėliai
Lentil–oat burger mix,Lęšių ir avižų mėsainių mišinys
Low-fat milk,Neriebus pienas
Low-fat yogurt,Neriebus jogurtas
Low-salt stock,Mažai druskos turintis
Low-sodium soy sauce,Mažai druskų turintis sojų padažas
Mackerel,Skumbrė
Miso paste + water,Japoniška miso pasta + vanduo
Mushroom + soy sauce,Grybai + sojų padažas
Mushrooms + carrot + pepper,Grybai + morkos + pipirai
Mushroom–lentil mix,Grybų ir lęšių mišinys
Neutral oil (75% of butter weight),Neutralaus skonio aliejus (75 % sviesto svorio)
Oat flour (partial),Avižiniai miltai (daliniai)
Olive oil,Alyvuogių aliejus
Olive oil + smoked paprika,Alyvuogių aliejus + rūkyta paprika
Olive oil swap (partial),Alyvuogių aliejaus keitimas (dalinis)
Paneer (if dairy ok),"Šviežias indiškas sūris ""Paneer"" (jei vartojate pieno produktus)"
Pulse flour blend (20–30%),Ankštinių miltų mišinys (20–30 %)
Pulse pasta,Ankštinių augalų makaronai
Pumpkin seeds,Moliūgų sėklos
Quinoa,Bolivinės balandos
Rapeseed oil,Rapsų aliejus
Replace 50–100% with soy mince,Pakeisti 50-100% sojų faršu
Roasted chickpea spread,Keptų avinžirnių užtepėlė
Salmon,Lašiša
Sardines,Sardinės
Seitan,Kvietinė mėsa
Seitan chunks,Kvietinės mėsos gabaliukai
Seitan steak,Kvietinės mėsos kepsnys
Silken tofu cream,Šilkinis tofu kremas
Skimmed milk + roux,Nugriebtas pienas + padažas
Skyr/yogurt,Skyras/jogurtas
Smoked tofu cubes,Rūkyti tofu kubeliai
Sourdough wholegrain,Pilno grūdo raugas
Soy mince,Sojų faršas
Sparkling water,Gazuotas vanduo
Spelt (partial),Speltos miltai (dalis)
Spinach (chopped),Špinatai (kapoti)
Sunflower seeds,Saulėgrąžų sėklos
Swap 50% pasta → veg noodles,Pakeisti 50% makaronų → daržovių makaronai
Tempeh,Tempė
Tofu cubes,Tofu kubeliai
Tofu steak,Tofu kepsnys
Unsweetened tea,Nesaldinta arbata 
Walnut oil,Graikinių riešutų aliejus
Walnuts,Graikiniai riešutai
Water + fruit infusion,Vanduo su vaisiais
Whole grain flour (blend 50%),Pilno grūdo miltai (50% mišinys)
Wholegrain bread,Pilno grūdo duona
Wholegrain pasta,Pilno grūdo makaronai
Wholemeal flour (25–50%),Pilno grūdo miltai (25-50%)
Wholewheat couscous,Pilno grūdo kuskusas
Young jackfruit chunks,Jauni duonvaisio gabaliukai
