Trigger ingredient,Explanation of Trigger Ingredient,Translation of trigger ingredient,Explanation of Trigger Ingredient
Beef,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Βόειο κρέας,Κόκκινο κρέας φυσικά πλούσιο σε κορεσμένα λιπαρά οξέα που σχετίζεται με αυξημένο κίνδυνο χρόνιων παθήσεων.
Pork,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Χοιρινό,Κόκκινο κρέας φυσικά πλούσιο σε κορεσμένα λιπαρά οξέα που σχετίζεται με αυξημένο κίνδυνο χρόνιων παθήσεων.
Bacon/lardons,"Highly processed meat containing high levels of sodium, nitrates, and saturated fats.",Μπέικον/Λαρδί,"Εξαιρετικά επεξεργασμένο κρέας που περιέχει υψηλά επίπεδα νατρίου, νιτρικών αλάτων και κορεσμένων λιπαρών."
Luncheon meat,"Highly processed meat containing high levels of sodium, nitrates, and saturated fats.",Αλλαντικά,"Εξαιρετικά επεξεργασμένο κρέας που περιέχει υψηλά επίπεδα νατρίου, νιτρικών αλάτων και κορεσμένων λιπαρών."
White pasta,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Λευκά ζυμαρικά,"Αμυλούχος υδατάνθρακας που έχει απογυμνωθεί από τις φυτικές του ίνες, τις βιταμίνες και τα μέταλλα κατά τη διάρκεια της επεξεργασίας."
Canned tuna,Packaged protein source often containing high levels of added sodium from salt-water preservation.,Τόνος σε κονσέρβα,Συσκευασμένη πηγή πρωτεΐνης που συχνά περιέχει υψηλά επίπεδα πρόσθετου νατρίου από τη διατήρηση σε αλατόνερο.
Soy sauce,Fermented condiment; high sodium density that contributes significantly to salt intake.,Σάλτσα σόγιας,Καρύκευμα που έχει υποστεί ζύμωση· υψηλή πυκνότητα νατρίου που συμβάλλει σημαντικά στην πρόσληψη αλατιού.
Any meat sauce,,Οποιαδήποτε σάλτσα κρέατος,
Minced meat,Animal-based protein source characterized by significant levels of saturated fat and a lack of dietary fiber.,Κιμάς,Πηγή πρωτεΐνης ζωικής προέλευσης που χαρακτηρίζεται από σημαντικά επίπεδα κορεσμένων λιπαρών και έλλειψη φυτικών ινών.
Butter,Concentrated dairy fat with high levels of saturated fatty acids and cholesterol.,Βούτυρο,Συμπυκνωμένο γαλακτοκομικό λίπος με υψηλά επίπεδα κορεσμένων λιπαρών οξέων και χοληστερόλης.
General fat choice,,Γενική επιλογή λιπαρών,
Low-dairy sauce,,Σάλτσα χαμηλή σε γαλακτοκομικά,
White rice,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Λευκό ρύζι,"Αμυλούχος υδατάνθρακας που έχει απογυμνωθεί από τις φυτικές του ίνες, τις βιταμίνες και τα μέταλλα κατά τη διάρκεια της επεξεργασίας."
Refined bread,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Επεξεργασμένο ψωμί,"Αμυλούχος υδατάνθρακας που έχει απογυμνωθεί από τις φυτικές του ίνες, τις βιταμίνες και τα μέταλλα κατά τη διάρκεια της επεξεργασίας."
Margarine (non-HO),Industrial fat source that may contain partially hydrogenated oils,Μαργαρίνη (μη-μη-υδρογονωμένη),Βιομηχανική πηγή λίπους που μπορεί να περιέχει μερικώς υδρογονωμένα έλαια.
Salad topping,,Γαρνιτούρα σαλάτας,
Protein choice,,Επιλογή πρωτεΐνης,
SSB,Beverage containing high amounts of free sugars and empty calories with negligible nutritional value.,Ζαχαρούχα Ροφήματα,Ρόφημα που περιέχει υψηλές ποσότητες ελεύθερων σακχάρων και κενές θερμίδες με αμελητέα διατροφική αξία.
Low-dairy breakfast,,Πρωινό χαμηλό σε γαλακτοκομικά,
Roerbak proteïne,,Πρωτεΐνη για stir-fry,
Pasta dishes,,Πιάτα ζυμαρικών,
Stock cube,Concentrated seasoning typically composed of high levels of sodium and hardened fats.,Κύβος ζωμού,Συμπυκνωμένο καρύκευμα που συνήθως αποτελείται από υψηλά επίπεδα νατρίου και σκληρυμένα λίπη.
Lamb,Red meat naturally high in saturated fatty acids and associated with increased risk of chronic diseases.,Αρνί,Κόκκινο κρέας φυσικά πλούσιο σε κορεσμένα λιπαρά οξέα που σχετίζεται με αυξημένο κίνδυνο χρόνιων παθήσεων.
Cream,Concentrated dairy fat with high levels of saturated fatty acids and cholesterol.,Κρέμα γάλακτος,Συμπυκνωμένο γαλακτοκομικό λίπος με υψηλά επίπεδα κορεσμένων λιπαρών οξέων και χοληστερόλης.
White flour,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Λευκό αλεύρι,"Αμυλούχος υδατάνθρακας που έχει απογυμνωθεί από τις φυτικές του ίνες, τις βιταμίνες και τα μέταλλα κατά τη διάρκεια της επεξεργασίας."
White couscous,"Starchy carbohydrate that has been stripped of its natural fiber, vitamins, and minerals during refining.",Λευκό κουσκούς,"Αμυλούχος υδατάνθρακας που έχει απογυμνωθεί από τις φυτικές του ίνες, τις βιταμίνες και τα μέταλλα κατά τη διάρκεια της επεξεργασίας."
