name of alternative,Translation
+50–100% beans/lentils,+50–100% bonen/linzen
50/50 mix (white+wholegrain),50/50 mix (wit+volkoren)
Add 150–250g veg per 4p,Voeg 150–250g groenten per 4p toe
Add barley (soup/stews),Voeg gerst toe (soep/stoofpotjes)
Add legumes to sauce,Voeg peulvruchten toe aan de saus
Add seeds mix,Voeg zadenmix toe
Apple sauce (up to 30%),Appelmoes (tot 30%)
Avocado purée (partial),Avocadopuree (gedeeltelijk)
Brown lentils (cooked),Bruine linzen (gekookt)
Brown rice,Bruine rijst
Bulgur,Bulgur
Butter or HO margarine,Boter of zachte margarine
Canned in spring water,Ingeblikt in water
Cashew cream,Cashewroom
Chickpea + aubergine mix,Kikkererwten- + auberginemix
Chickpea flour (partial),Kikkererwtenmeel (gedeeltelijk)
Coconut aminos,Kokos-aminos
Courgette (grated),Courgette (geraspt)
Evaporated milk,Gecondenseerde melk
Extra virgin rapeseed oil,Extra vierge koolzaadolie
Firm tofu,Tofu
Firm tofu cubes,Tofu
Flaxseed oil,Lijnzaadolie
Fortified oat drink,Verrijkte haverdrank
Fortified plant drink,Verrijkte plantaardige drank
Fresh tuna,Verse tonijn
Greek yogurt (30–50% swap),Griekse yoghurt (30–50% omwisseling)
Grilled portobello,Gegrilde portobello
Half brown/half white,Half bruin/half wit
Half butter/half oil,Half boter/half olie
Half cube + extra herbs,Half blokje + extra kruiden
Half tuna + half beans,Half tonijn + half bonen
Homemade veg stock,Zelfgemaakte groentebouillon
Hummus + walnut,Hummus + walnoot
Jackfruit chunks,Stukken jackfruit
Lentil–oat burger mix,Linzen-haverburger-mix
Low-fat milk,Magere melk
Low-fat yogurt,Magere yoghurt
Low-salt stock,Zoutarme bouillon
Low-sodium soy sauce,Zoutarme sojasaus
Mackerel,Makreel
Miso paste + water,Misopasta + water
Mushroom + soy sauce,Champignon + sojasaus
Mushrooms + carrot + pepper,Champignons + wortel + paprika
Mushroom–lentil mix,Champignon-linzenmix
Neutral oil (75% of butter weight),Neutrale olie (75% van het gewicht van de boter)
Oat flour (partial),Havermout (gedeeltelijk)
Olive oil,Olijfolie
Olive oil + smoked paprika,Olijfolie + gerookt paprika
Olive oil swap (partial),Olijfolie-omwisseling (gedeeltelijk)
Paneer (if dairy ok),Paneer (als zuivel oké is)
Pulse flour blend (20–30%),Peulvruchtenmeel-mix (20–30%)
Pulse pasta,Peulvruchtenpasta
Pumpkin seeds,Pompoenpitten
Quinoa,Quinoa
Rapeseed oil,Koolzaadolie
Replace 50–100% with soy mince,Vervang 50–100% door sojagehakt
Roasted chickpea spread,Geroosterde kikkererwtenpasta
Salmon,Zalm
Sardines,Sardines
Seitan,Seitan
Seitan chunks,Stukken seitan
Seitan steak,Seitansteak
Silken tofu cream,Zijden tofuroom
Skimmed milk + roux,Magere melk + roux
Skyr/yogurt,Skyr/yoghurt
Smoked tofu cubes,Gerookte tofublokjes
Sourdough wholegrain,Zuurdesem volkoren
Soy mince,Sojagehakt
Sparkling water,Bruiswater
Spelt (partial),Spelt (gedeeltelijk)
Spinach (chopped),Spinazie (gehakt)
Sunflower seeds,Zonnebloempitten
Swap 50% pasta → veg noodles,Vervang 50% pasta → groentenoedels
Tempeh,Tempeh
Tofu cubes,Tofublokjes
Tofu steak,Tofusteak
Unsweetened tea,Ongezoete thee
Walnut oil,Walnootolie
Walnuts,Walnoten
Water + fruit infusion,Water + fruitinfusie
Whole grain flour (blend 50%),Volkorenmeel (mix 50%)
Wholegrain bread,Volkorenbrood
Wholegrain pasta,Volkorenpasta
Wholemeal flour (25–50%),Volkorenmeel (25–50%)
Wholewheat couscous,Volkoren couscous
Young jackfruit chunks,Jonge jackfruitstukken
