name,Explanation of Role,Translation of name,Translation of explanation of Role
steak centerpiece,Main centerpiece ingredient that provides chew and acts as the focal point of the plate.,μπριζόλα ως βασικό μέρος του γεύματος,Βασικό κεντρικό συστατικό που προσφέρει μαστιχωτή υφή και αποτελεί το σημείο εστίασης του πιάτου.
minced in sauce,"Ground ingredient that disperses through the sauce to add body, texture, and savory depth.",κιμάς σε σάλτσα,"Αλεσμένο συστατικό που διαχέεται στη σάλτσα για να προσθέσει σώμα, υφή και γευστικό βάθος."
cubes stew,Chunked ingredient that keeps its shape and adds bite in slow-cooked dishes.,κρέας σε κύβους,Συστατικό κομμένο σε μεγάλα κομμάτια που διατηρεί το σχήμα του και προσφέρει μεστή υφή σε σιγομαγειρεμένα φαγητά.
flavoring,"Small flavor ingredient used to add saltiness, smokiness, and depth.",αρωματική ύλη,"Συστατικό για ενίσχυση γεύσης που προστίθεται σε μικρή ποσότητα για να προσφέρει αλμυρή αίσθηση, καπνιστή χροιά και βάθος."
sandwich fill,Primary sandwich filling that adds bulk and savory taste.,γέμιση για σάντουιτς,"Βασική γέμιση σάντουιτς που προσθέτει όγκο και νόστιμη, μεστή γεύση."
bread pizza,Base ingredient that provides the structure of the pizza-style dish.,βάση ψωμιού για πίτσα,Βασικό συστατικό που παρέχει τη δομή σε ένα πιάτο τύπου πίτσας.
pasta,Main starch base that provides structure and bulk.,ζυμαρικά,Βασική πηγή αμύλου που παρέχει δομή και όγκο.
brine pack,Tuna preserved in brine and used as a protein source in the dish.,συσκευασία σε άλμη,Τόνος διατηρημένος σε άλμη που χρησιμοποιείται ως πηγή πρωτεΐνης στο πιάτο.
seasoning,Seasoning ingredient used to add saltiness and umami.,καρύκευμα,Καρύκευμα που χρησιμοποιείται για να προσθέσει αλμυρή γεύση και ουμάμι.
sauce addin,"Ingredient added to sauce to increase body, flavor, and nutrients.",πρόσθετο σάλτσας,"Συστατικό που προστίθεται στη σάλτσα για να ενισχύσει το σώμα, τη γεύση και τα θρεπτικά συστατικά."
chili burgers,Protein base used to build the burger or chili mixture.,μείγμα για πικάντικα μπιφτέκια,Πρωτεϊνική βάση που χρησιμοποιείται για την παρασκευή μπιφτεκιών ή του μίγματος για τσίλι.
sauté fat,"Fat used for cooking, adding moisture, and supporting texture development.",λιπαρή ύλη για σοτάρισμα,Λιπαρή ουσία που χρησιμοποιείται στο μαγείρεμα για την προσθήκη υγρασίας και την υποστήριξη της διαμόρφωσης της υφής.
finish oil,Oil added at the end for aroma and richness.,λάδι για τελείωμα πιάτου,Λάδι που προστίθεται στο τέλος για άρωμα και πλούσια γεύση.
cream swap,Cream replacement used to keep a sauce creamy.,υποκατάστατο κρέμας γάλακτος,Εναλλακτικό υλικό που χρησιμοποιείται αντί της κρέμας γάλακτος για να διατηρήσει τη σάλτσα κρεμώδη.
bread,Bread component that provides structure and bulk.,ψωμί,Συστατικό αρτοποιίας που παρέχει δομή και όγκο.
baking fat,"Fat used for cooking, adding moisture, and supporting texture development.",λιπαρή ύλη αρτοποιίας,Λιπαρή ουσία που χρησιμοποιείται στο ψήσιμο για την προσθήκη υγρασίας και την υποστήριξη της διαμόρφωσης της υφής.
topping,Topping added for crunch and extra nutrients.,γαρνιτούρα,Γαρνιτούρα που προστίθεται για τραγανή υφή και επιπλέον θρεπτικά συστατικά.
beverage,Functional ingredient in the dish that serves the role of beverage.,ρόφημα,Λειτουργικό συστατικό στο πιάτο που εξυπηρετεί τον ρόλο του ποτού.
swap in,Replacement ingredient used as the main substitute in the dish.,συστατικό αντικατάστασης,Συστατικό αντικατάστασης που χρησιμοποιείται ως το κύριο εναλλακτικό υλικό στο πιάτο.
stirfry protein,Protein component used in a stir-fry.,πρωτεΐνη για σοτάρισμα,Συστατικό πρωτεϊνης που χρησιμοποιείται σε πιάτα τύπου stir-fry.
veg boost,Vegetable addition used to increase volume and nutrient density.,ενίσχυση λαχανικών,Προσθήκη λαχανικών που χρησιμοποιούνται για την αύξηση του όγκου και της πυκνότητας των θρεπτικών συστατικών.
broth base,Base ingredient used to build the flavor of soups or sauces.,βάση ζωμού,Βασικό συστατικό που χρησιμοποιείται για την ενίσχυση της γεύσης σε σούπες ή σάλτσες.
curry cubes,Functional ingredient in the dish that serves the role of curry cubes.,κύβοι κάρυ,Λειτουργικό συστατικό στο πιάτο που εξυπηρετεί τον ρόλο των κύβων κάρυ.
sauce enricher,Functional ingredient in the dish that serves the role of sauce enricher.,ενισχυτικό σάλτσας,Λειτουργικό συστατικό στο πιάτο που εξυπηρετεί τον ρόλο του ενισχυτικού σάλτσας.
roux binder,Flour used to thicken and bind a sauce.,μείγμα συστατικών  για το δέσιμο σούπας και σάλτσας (ρου),Αλεύρι που χρησιμοποιείται για την πήξη και το δέσιμο μιας σάλτσας.
staple,Main carbohydrate base of the meal.,βασικό συστατικό,Η κύρια υδατανθρακούχα βάση του γεύματος.
